Description,Fiabilité (%),Prix prédit (€),Tranche prédite,Modèle utilisé
Je fais le ménage,80,1.58,Basse,ML - Local
Je fais le ménage,80,1.14,Non évaluée,DL - Local
Je fais le ménage,80,1.2,Non évaluée,API - FastAPI
Je fais le ménage,85,1.61,Haute,ML - Local
Je fais le ménage,85,1.14,Non évaluée,DL - Local
Je fais le ménage,85,1.19,Non évaluée,API - FastAPI
Je fais le ménage,90,1.61,Haute,ML - Local
Je fais le ménage,90,1.13,Non évaluée,DL - Local
Je fais le ménage,90,1.18,Non évaluée,API - FastAPI
Je fais le ménage,96,1.61,Haute,ML - Local
Je fais le ménage,96,1.11,Non évaluée,DL - Local
Je fais le ménage,96,1.18,Non évaluée,API - FastAPI
Je fais le ménage,99,1.7,Basse,ML - Local
Je fais le ménage,99,1.11,Non évaluée,DL - Local
Je fais le ménage,99,1.18,Non évaluée,API - FastAPI
